Found 4 args.
Observation: ES2014d; Result size: 772; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	529.81	540.19	if we just had all the buttons as standard , except for the one red apple , then that would take care of that , I guess . We'd have one special colour and one special button form . 	
D	540.72	541.0	Mm-hmm . 	
A	542.12	542.79	And when 	
A	544.42	548.91	I plugged that in last time remember it has to be under twelve and a half . 	
A	550.81	562.94	As far as I know , that um that took care of the uh of the various supplements . And if What happened ? 	
D	559.67	559.95	Mm-hmm . 	
D	566.69	569.97	You've just gone off the window into another one . It's on the bottom row . 	
C	577.84	581.97	Maybe if you just minimise that one in the top right-hand corner of the little box . Yeah . 	
A	578.624	579.2		
A	583.76	589.59	Now , right . Okay , so , but the point would be that if we uh 	
C	584.864	585.752		
A	591.83	597.76	if we just did special Sorry , you were saying that it would be that one , that you would put in one there . 	
D	597.81	599.25	Yeah . Yeah . 	
A	600.95	601.46	Okay . 	
B	604.09	606.704	So that's nine point one there so we've got some 	
A	606.05	610.75	So it Well , is it s is no , it's nine point seven I've got . Okay . 	
B	608.95	609.23	'Kay . 	
D	609.43	609.71	Mm-hmm . 	
B	610.77	611.76	Just give us a bit of 	
A	612.11	614.32	So , that would 	
A	616.18	618.01	that would work out fine if uh 	
D	618.7	619.01	Mm-hmm . 	
A	619.97	634.76	uh as assuming your correction are are assuming that that one change covers all the buttons , then that would be fine . And there's nothing else as far as I can see that we we had uh planned to put on . 	
D	628.49	628.77	Mm-hmm . 	
D	629.688	630.169		
C	629.71	630.16	S 	
B	633.93	656.582	I switching around those th um on the electronics we got the sample sensor . At the moment we've just got the simple chip , which costs one . Um , I guess the sample sens sample speaker would be the voice recognition thing , which puts up to four ? We should be slightly over our budget but if we gather something else down to slightly lower standard , and maybe go with the one the special form buttons , then we could have the speech 	
A	642.04	642.48	Uh-huh . 	
D	646.29	646.75	Yeah . 	
D	652.43	652.68	Yeah . 	
A	655.4	658.25	Well , hold on . Um , if we 	
A	661.88	663.86	Okay , that gives us twelve point seven 	
B	664.0	673.333	So uh maybe if we got rid of like the maybe one of the special colours , kept them all the same colour , then we could have the voice recognition without 	
A	672.29	679.584	But remember that the idea was to keep it the colour of the Oh , I see , so just take out the special colour for the apple and 	
B	679.38	681.394	Yeah , yeah . Um 	
C	680.84	691.11	Um , . D wouldn't you have to keep the simple chip there as well ? You know how you turn that one to a zero , wouldn't the chip and the sample speaker be separate things , so you need both of them ? 	
D	688.05	689.061	Yeah , we have to have it 	
B	690.15	694.54	Oh possibly , yeah , yeah maybe . Maybe um we'd be giving up on the kinetic . 	
D	690.67	691.18	Yeah . 	
B	695.97	696.7	Um 	
A	697.18	700.04	And go for battery instead . That would give you one less . 	
D	697.46	698.03	Yeah . 	
B	698.97	702.48	We should Yeah , that would save us one , though we'd still be slightly ov 	
A	701.91	709.35	But you reckon that i I mean the thing is that you wanted to a appeal to people and not have to replace batteries . 	
B	709.46	739.55	Yeah , yeah . Well , since it's the through the whole technology type thing , um , you were saying in the market research that people like kind of interesting gadgets in them . Um , whether they would figure the the s uh sample senor and the sample speaker , voice recognition be sort of a worthwhile thing to have . And then still have the batteries , or whatever they would prefer not uh You know what I mean ? The the problem was the battery's running out and losing the um losing the remote . So you gotta decide which of those is more important to them . 	
D	719.22	719.49	Mm-hmm . 	
D	728.63	728.82	Mm-hmm . 	
A	732.53	733.64	Mm-hmm . 	
D	735.35	735.8	Yeah . 	
A	739.68	763.98	But which do you think or which do we think is the more important of the options ? In a sense , at the moment , we've got a total which we need to reduce down by one point two . At least . Remember that was a minimum requirement . The other option if we're planning on just going for something cheap and cheerful , would be to um make it originally , we're gonna make it a simple product . 	
C	745.16	746.51	I think the voice recognition . 	
D	763.08	783.75	Shall we shall we evaluate the prototype as we've got it now first , and then sort of make decisions about what needs to be changed after ? Okay . Right um , I have a little thing . So , we've all got a note of it's thirteen point seven , isn't it , with everything we want on . 	
B	763.17	763.49	Yeah . 	
A	772.17	773.94	Mm-hmm . Makes sense . 	
B	773.59	773.94	Okay . 	
A	784.547	785.024	. 	
A	790.41	792.89	Sorry , do you want that back up ? 	
D	791.77	794.27	Yeah , I just had a presentation to 	
A	794.83	795.24	Right . 	
D	796.38	797.568	do . 	
C	798.99	806.16	But I do think uh the v uh voice recognition thing would be more impressive than the fact that it's got no battery . 	
A	806.88	813.7	Okay , but remember the main the only reason we were planning on having the voice recognition was so that they could find the remote if it got lost . 	
D	814.53	817.82	Mm-hmm . Mm . Right okay um , 	
D	818.98	838.28	This is about the evaluation criteria that we use for the the prototype we've got here . And so the method is that the design team makes a prototype , and we evaluate the prototype against some criteria that we've formulated . And those ones are gonna be in response to sort of market research , and also finance , I guess . 	
C	822.651	823.243		
D	839.339	847.67	And do that on a scale from say true being one and false being seven , so if it's neither true nor false , then that's four . 	
D	855.5	864.75	So , I got a set of criteria just based on the marketing that we need to add in a financial one as well , at the end . Um so , 	
D	865.98	869.6	We have to say whether it's true or false that the product looks and feels fancy . 	
D	870.68	871.408	Um 	
D	871.97	877.12	The whether the product demonstrates technical innovation . Whether it's easy to use . 	
D	878.44	894.252	Whether it's incorporating sort of the fashion element to attract the buyer . And whether it's a sort of recognisable Real Reaction product . And I have to go up onto the whiteboard and do this apparently , so I'll go over here . 	
B	889.35	889.6	Okay . 	
D	902.56	911.664	Right . So the first one is um , does the product look and feel fancy . So if we do a sort of a one 	
D	917.73	918.385	So 	
B	918.31	926.272	Okay , well we have a single curve , which was maybe like the feel of the product's quite good . So uh 	
D	922.66	922.91	Yeah . 	
D	925.58	926.19	Okay . 	
B	927.14	932.35	Um , then we have the rubber kinda spongy feel , which was in at the time . 	
D	930.93	931.28	Yeah . 	
D	932.68	933.73	Yeah . Yeah . 	
B	933.4	935.89	Um , sorry that'd be considered fancy . 	
D	936.752	937.27		
C	937.04	938.26	Yeah , I'd maybe give it a 	
C	939.4	940.54	a two . 	
D	941.91	952.192	Of but I think What Is one false , or is t one true ? I forgot . One's true , and okay . Seven's fal Four is neutral , okay . So 	
C	944.75	945.63	One's true . 	
C	947.68	948.78	And a four is neutral . 	
B	951.64	952.87	So maybe maybe a two . 	
C	953.55	961.66	Yeah , 'cause we haven't got the double curve , so we can't like say it's completely true . But it's pretty close . We've got almost everything we can . 	
A	955.685	960.26	Go for one . Yep . 	
D	956.7	957.21	Right . 	
D	962.27	966.56	Okay . Right . I gonna put underneath so I've got some more space . 	
A	963.03	963.4	Okay . 	
D	969.08	973.085	So , false is seven , true is one , and 	
D	977.11	980.37	So uh say about a two for fancy , you think ? Okay . 	
B	979.08	979.31	Yeah . 	
C	979.61	980.06	Yeah . 	
A	980.26	983.24	Yeah , why not not , m m maybe nearer three . 	
D	984.12	987.606	Okay , well d you do an average at the end , I don't know . Um 	
A	985.23	997.41	Two three . Well , it's just that uh saying something remember that when you look down , we've got solar power , we've got uh various other things you could have , and we're not going for these options . 	
D	995.25	995.53	Uh-huh . 	
D	996.52	1001.255	This this is just this is just for like the look . Does it sort of look fancy rather than functional . So 	
A	999.12	999.47	Mm-hmm . 	
A	1001.789	1002.27		
C	1003.99	1006.64	Yeah , I suppose that might be in the technical innovation bit . 	
D	1006.78	1010.81	Yeah , so that so sh should we go for a a two on that ? 	
A	1011.09	1011.46	Okay . 	
D	1011.69	1018.48	'Kay . And I mean , how much does the product demonstrate technical innovation do you reckon ? 	
B	1017.8	1029.64	Um , deciding between the kinetic power or um the speech recognition , and if we had either of those for our budget , they both show a reasonable amount of speech recognition . 	
D	1027.91	1028.73	D yeah . 	
D	1030.21	1037.41	Okay . So , what about the pr The prototype as it is , we've got we've got the speech recognition on it , haven't we . 	
B	1034.28	1034.878	Um 	
B	1037.19	1038.32	But not the kinetic . 	
D	1039.46	1040.63	But not the kinetic . 	
B	1040.31	1041.04	Like the power . 	
A	1041.2	1044.03	No . 'Cause you can't afford that w we took that out too . 	
B	1043.03	1045.45	No , we c ca yeah , we can't afford both . 	
D	1046.93	1048.802	Alright , so 	
A	1047.55	1048.912	Didn't you ? Or 	
D	1050.15	1056.224	So it doesn't It's pretty The prototype as it is isn't sort of um fulfilling the 	
B	1056.6	1060.24	No may is maybe about neutral plus it it it's got something , but it hasn't got 	
C	1057.62	1058.5	Maybe a three . 	
D	1059.135	1059.69		
D	1060.37	1061.6	Okay . Yeah . 	
A	1061.81	1078.26	Well , wait a minute . In thirteen point seven we do have kinetic . The problem is we have to reduce down from there to get it down to twelve point five . And one way of doing that would be to take out the kinetic . So , it's very much dependant on what you do with your options . 	
C	1062.63	1064.47	I would give it more than a four . 	
B	1067.83	1068.17	Right . 	
B	1070.09	1070.55	Okay . 	
D	1080.41	1081.29	Right , okay . 	
A	1080.58	1096.55	And if you're definitely going for the sample sensor and sample speaker , then because that the other functions we've got in are are more at the The special material , the rubber , wood , titanium , et cetera , 	
B	1080.8	1081.09	'Kay . 	
A	1098.42	1116.61	if you go for that , th that's at the high end 'cause that's point six , whereas down at uh just special colours uh is point two . Now you're trying to lose one point two , so it seems to me that if you're going for the sample sensors speaker , you're basically then having to go for the cheaper options on everything else . 	
D	1118.12	1118.54	Mm-hmm . 	
B	1118.84	1118.95	Okay . 	
A	1120.0	1137.04	And and the simple way to do it would be to have a battery , to have your uh sample sensor speaker , and then you're looking to uh take out uh point two , which would be come from the button supplements category . 	
B	1120.3	1121.191	Um 	
D	1130.11	1130.38	S 	
D	1131.77	1134.559	I'm just gonna check my email . 	
D	1137.16	1140.61	I'm just gonna check exactly what it said in the email for um 	
D	1142.77	1143.81	the product . 	
C	1144.55	1147.56	How much of a difference would it make if we made the case in plastic ? 	
C	1151.6	1159.22	Because we did say that we don't wanna follow the fashion too much . If the buttons are rubber that might be spongy enough . And then it stand the test of time better . 	
A	1157.52	1190.57	Um , interface type um , well plastic rather than rubber . That that that would make the significant difference . You could either you could have it If you have a in plastic rather than rubber , then that would uh enable you to get you could keep kinetic then , you could keep your sample sensor , and you'd be looking to take out point two . So you could uh fiddle that down your special form at the bottom , or your special colour at the bottom . And that would enable you to to do it . 	
D	1163.85	1164.911	Okay . But I 	
B	1187.93	1188.23	Mm-hmm . 	
C	1188.16	1188.42	Mm-hmm . 	
D	1191.1	1191.55	Okay . 	
B	1191.63	1200.592	So it says if we make a slightly more fancy , then we lose points innovation , and if we make it more innovative innovative , then we lose points on it being fancy , so 	
A	1197.5	1197.73	Yeah . 	
D	1198.53	1198.93	Yeah . 	
A	1199.08	1199.4	Ye 	
D	1199.709	1214.58	, I just read the email again and it sort of says it's evaluate the design sort of as it is , I think , so I think we need to think about finance after we've sort of evaluated that design . I don't know whether we're doing it in the wrong order or something or . 	
A	1214.77	1216.303	Well , okay , but 	
C	1218.05	1219.93	Well , I suppose it's rubber as it is , isn't it . 	
A	1220.22	1221.57	It's rubber as it is , yes . 	
D	1221.61	1227.24	So , I mean does this need to go up a bit or something , 'cause we've got both the 	
D	1228.87	1229.85	both the um 	
A	1231.66	1241.607	We got we've we've got thirteen point seven and we've got it in at the moment and if and basically , we're going to reduce down from that . But the current one , you'd say would be fancy , would be too 	
D	1231.69	1233.043	the speech 	
C	1231.96	1232.75	Yeah . 	
D	1235.24	1235.55	Yeah . 	
B	1242.12	1242.76	Yeah , yeah . 	
D	1242.84	1248.813	Yeah . Um , for for innovation , so we've got the speech the speech thing , and 	
A	1245.796	1246.166		
A	1247.72	1248.31	Mm-hmm . 	
A	1250.16	1251.75	I would've said about a two as well . 	
D	1252.45	1253.02	Do you reckon a two ? 	
C	1253.01	1255.86	Yeah , two or three . I'd be happy with a two . 	
D	1255.141	1262.528	Okay . Two . And the next one is I'll have to get it back up now . 	
A	1256.49	1256.88	Oh . 	
C	1260.896	1262.376		
A	1262.52	1268.84	The next on Well , I can just sing about . Easy to use . I would've said yes . I would go for a one on that at this point in time . 	
C	1270.36	1270.68	Yeah . 	
D	1272.15	1272.6	Okay . 	
C	1272.52	1273.57	Yeah , I would say so as well . 	
A	1276.8	1283.64	Um , incorporates elements of fashion to attract buyer . Well , yeah it certainly has some . 	
B	1282.22	1282.839	Um 	
C	1284.27	1287.18	Yeah , it's got the cherry and the sponginess . 	
A	1284.538	1286.202	. 	
B	1285.0	1285.88	It does , yeah . 	
D	1286.19	1286.608	Um 	
A	1287.38	1287.69	Yep . 	
D	1288.5	1289.94	Say about a three maybe ? 	
A	1290.8	1291.48	I don't know . 	
B	1290.983	1298.146	Yeah , m um Yeah , it was just doing it quite well . Um , I think we're gonna have to lose some of these , but the moment , as it stands , it's um 	
C	1291.8	1292.7	Maybe two ? 	
A	1294.66	1295.01	Yep . 	
A	1297.62	1300.43	Yeah , I woulda said two would seem reasonable . 	
D	1298.02	1298.6	It's a two . 	
A	1302.24	1304.544	The product is a recognisable real 	
A	1305.68	1309.28	r uh reaction product ? 	
D	1307.89	1308.582	Yeah , this is 	
B	1309.38	1315.79	Uh the sensor using all of its all of its products , all of its buttons , and it's got a fairly big label on the bottom saying 	
D	1309.41	1310.172	This 	
A	1312.544	1313.543		
C	1316.29	1318.104	Yeah , that's a bit rough at the minute . 	
D	1316.64	1316.99	Yeah . 	
B	1316.88	1317.84	where it comes from . 	
D	1318.048	1327.839	So this is about sort of the corporate image of like new sort of sleek technology and all that sort of thing , as well as having the logo on and all that . So sort of 	
A	1319.92	1320.13	Oh . 	
B	1325.07	1325.47	Okay . 	
B	1327.376	1327.696		
D	1331.33	1338.486	Is it sort of a recognisable product . Does it fit in with our other other products , which uh are sort of coffee makers and spacecraft . 	
A	1331.408	1332.006		
C	1337.975	1339.936		
A	1338.032	1342.0	S 	
D	1339.114	1340.409		
C	1341.13	1345.44	Uh , well it's got the same um speech feature as the coffee machine . 	
D	1341.16	1342.06	What do y 	
B	1345.82	1354.97	Also it's kind of spongy rubberiness is maybe bit more kinda comfortable than kinda sleek and new age . Um , it depends which way you look at it . 	
D	1351.55	1352.12	Yeah . 	
D	1353.82	1354.1	Uh-huh . 	
A	1355.65	1357.51	Okay . So we're going for a 	
D	1356.59	1356.973	So 	
B	1359.0	1360.88	Maybe a kind of three ? Uh d 	
A	1359.8	1362.07	two , three ? 	
D	1361.64	1362.31	Two or three ? 	
C	1361.7	1371.23	Yeah , two or three . Well , the logo would be more um recognisable on the actual thing . It's just that the pen wouldn't really write on that paper . But um , 	
A	1369.73	1370.01	Sure . 	
B	1370.195	1370.565		
D	1371.32	1371.65	Yeah . 	
C	1372.37	1380.73	I think the logo would definitely be recognisable . And it does have attributes that other products do . Two ? Aye . Go for it . 	
A	1380.9	1381.53	Right , okay . 	
D	1381.27	1383.32	Two or three . 	
C	1382.692	1385.06		
A	1383.344	1389.312	Two . Right , come on . That's that decided . Right . So 	
D	1384.304	1385.587	How 	
D	1386.11	1386.93	Two . Okay . 	
D	1390.08	1390.96	Right . 	
A	1391.08	1397.536	So we're now on to changing it to get it to fit in with the budget requirements , and then 	
D	1397.48	1398.38	Yeah . 	
C	1398.37	1402.1	What does what do all them numbers mean then ? Do we add them up and rate or anything ? 	
D	1401.354	1414.05	Yeah we s yeah , I think we sort of add them up so sort of at an average is gonna be I'm just gonna do this in my head . One point eight isn't it or something . I think , anyway . 	
A	1407.25	1407.86	About a two . 	
B	1408.496	1408.704		
C	1409.136	1409.806		
A	1409.75	1410.1	Two . 	
D	1415.2	1416.52	So yeah , pretty close to a two . 	
B	1417.4	1418.743	Yeah , so it's 	
D	1417.45	1417.985	So 	
D	1418.85	1425.61	So it's I mean it's pretty good at the moment , but it's gonna get worse , isn't it . But we've gotta try and make sure it doesn't get too bad . 	
A	1422.61	1422.93	Yep . 	
B	1424.58	1434.304	So should we get So are definite Was it thirteen point seven was the definite price rule if has . Okay , so we need to 	
A	1424.86	1426.96	Two b two b two , yeah . 	
D	1427.929	1430.445		
A	1431.22	1431.56	Yes . 	
D	1431.64	1431.9	Yeah . 	
A	1434.94	1441.16	Well , you can lose one point two and still meet the requirements . 	
D	1439.38	1442.29	Do you wanna plug it into yours so we can get up the 	
A	1443.09	1445.57	Okay , well I put it back on . 	
D	1444.43	1446.288	the finances 	
B	1444.54	1447.67	So I guess this Is this the last stage once we sort out the finances part of it ? 	
A	1446.944	1447.367		
D	1449.07	1450.23	I'm not sure . 	
A	1450.144	1451.251		
C	1451.28	1452.74	we'll probably have to re-rate it . 	
A	1453.27	1454.43	Yes , I would've thought so . 	
B	1454.69	1458.14	Yeah , yeah we'll make the adjustments and then see how are rates are going . 	
D	1454.85	1455.01	Yeah . 	
A	1459.02	1463.56	Okay , so what was it , control uh F_ eight , wasn't it ? 	
C	1463.47	1463.98	Ah it's on . 	
D	1463.685	1465.13	it's come on already . 	
A	1464.72	1479.7	Oh . Oh . How kind . Right , okay . So , you can see there that the If you want to keep kinetic , right , you've got a choice there of going down to battery , which would save you one . You've got 	
C	1466.003	1468.001		
A	1481.86	1485.46	the sample sensor and and sample speaker , which is your big item . 	
B	1487.91	1494.352	Oh actually we just have a plastic case , then we lose two points , which gets us um 	
A	1490.8	1491.32	That's right . 	
D	1495.18	1495.48	Mm . 	
A	1495.65	1496.896	Which gets you 	
B	1496.67	1498.06	In right within the budget range . 	
A	1498.21	1498.57	Yes . 	
C	1499.44	1502.79	Yeah , I think that'd be fine . Because that was just a trend , and we do have rubber buttons anyway . 	
B	1502.72	1507.28	So that's eleven point seven , and then we could make sure we definitely had all the button supplements . 	
D	1503.54	1503.93	Yeah . 	
D	1507.24	1519.69	Different different colours , yeah . Yeah , I was I was thinking that because maybe maybe the sort of rubber case is a bit less in sort of the corporate identity than the sort of you know sleeker plastic case . 	
A	1507.26	1507.68	Alright . 	
B	1517.7	1518.36	Possibly , yeah . 	
B	1519.88	1520.452	Um 	
C	1520.07	1520.43	Yeah . 	
A	1522.1	1523.526	Okay , so 	
B	1522.32	1527.744	And that would allow us to have all the technical innovations . So we'd lose a little bit on the maybe kind of 	
A	1527.67	1529.07	So we're going for plastic , yes ? 	
D	1528.714	1530.8	Lose a little bit on the fashion , yeah , but 	
A	1530.82	1531.17	Yep . 	
B	1533.08	1536.576	Oh yeah , and that would now be Yeah , that's that's within the budget . Um 	
D	1533.08	1533.56	And then 	
B	1538.07	1543.05	Do we actually have Do we just have one special uh special forms down here ? 	
A	1543.06	1553.35	Well , uh w uh there was debate as to how you would count them . You got special colour . Well originally I was assuming we had the red apple , and therefore , that was the special colour . 	
B	1547.396	1548.062	Um 	
C	1553.41	1555.23	Yeah , I think we should just imagine white buttons . 	
B	1553.828	1560.745	And we we've we've got we've got enough for another we've got nought point eight left , so we've got enough for another 	
D	1557.73	1558.17	Yeah . 	
A	1559.86	1577.59	Well , we've got special form . Now that would be one button , and the question was was that all buttons or is that just one button . 'Cause our plan really was to have one button only with a special So so no matter how you look at that , that would be the same . The other thing would then be special material , rubber , wood , titanium . 	
B	1570.56	1571.584	Yeah , um 	
B	1572.78	1576.166	But the but but but the 	
B	1577.59	1590.2	I think maybe the special colour , we've got three now just because the volume buttons are different , I guess we'd have the ones which are blue at the moment would would just be the standard colour . Yeah , which I think we should Yeah , they'll still be fine for the for the price . 	
D	1580.89	1581.62	Yeah . 	
A	1584.2	1586.97	Alright . So , special colour , you want three in there . 	
A	1589.85	1590.38	Okay . 	
D	1590.02	1599.08	Well I thin I think you you you just need two for the special colour 'cause it's just two supplements , you know . One original colour and then sort of two supplements , I think maybe . 	
A	1598.512	1599.83	That makes sense . 	
B	1599.95	1601.28	Okay , uh that's probably it . 	
D	1600.29	1609.48	Okay . So we only ne we only need two for that . 'Cause I mean these these are moulded . The one colour's gonna be moulded out of a piece of plas uh of rubber , isn't it . 	
C	1600.48	1600.85	Yeah . 	
A	1603.02	1603.6	Okay . 	
A	1609.07	1612.81	Okay . Yeah , I would agree with that , I think . So special colours , two . 	
D	1614.43	1614.64	Right . 	
A	1614.56	1629.49	And we've got special form is the one apple . The rest are all standard , although you could argue that should maybe be You were making these buttons down the bottom , I was presuming , bigger than the other ones , or were you ? Was that the idea ? 	
B	1628.32	1629.635	Ne uh 	
C	1629.54	1631.76	Yeah , the volume ones should stand out a bit . 	
B	1630.71	1635.24	Maybe that'll be a second supplement . Then there's a spe a second special form . 	
D	1633.02	1633.585	Yeah , that 	
A	1635.98	1644.093	Uh-huh . I would have thought that's probably about r well . 	
D	1636.03	1636.47	Yeah . 	
B	1636.76	1637.742	Um 	
B	1638.95	1639.95	Well you got you got twelve . 	
D	1639.948	1642.056		
C	1640.412	1642.188		
D	1646.17	1646.89	Okay , so tha 	
