Found 4 args.
Observation: ES2014a; Result size: 221; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
B	786.24	787.34	is easy to use and see . 	
A	788.33	793.47	And see . Okay . Uh . 	
B	789.08	789.44	Yes . 	
C	792.66	797.6	Can I just check ? Is this just a television remote ? Because a lot of um 	
C	798.97	809.66	systems are kind of T_V_ video combined now , or T_V_ D_V_D_ combined . And one of the most annoying things is having like five remotes in the house . So if you've got a combined system , it could be a combined remote . 	
A	803.08	803.6	Mm-hmm . 	
B	810.109	810.932		
D	810.66	810.89	Mm . 	
C	810.87	812.88	Or is it just a television that we're supposed to be doing ? 	
A	814.12	828.688	Oh I w um basically I'll get back to you on that . But it seems to me sensible , 'cause as you rightly said , there's nothing more annoying than having three or four devices littered about the uh about the room . And uh 	
B	814.904	816.225		
C	816.384	816.752		
D	824.72	825.22	Yeah . 	
C	825.755	826.729		
A	831.15	832.59	So a device for 	
A	834.63	835.89	for all remotes . 	
B	839.136	841.17	Sorry , you go . You go . 	
D	839.39	839.52	I've 	
D	840.77	880.88	Okay . Yeah . Um one of the things um we found from the market research is that people often get confused by the number of buttons on them as well . 'Cause there's quite often lots and lots . And um sometimes uh they sort of remote controls defeat their own purpose because you're sat in the chair and the remote is somewhere else in the room . So whereas in the past you'd have to get up to change the channel , now you have to get up to sort of pick up the remote . So so I don't we need to sort of maybe think about how um we could maybe uh develop a remote control which moves around the room . I don't know . 	
B	877.92	881.297		
C	879.328	883.79	Comes to your whistle . 	
A	880.82	882.32	Hmm . 	
D	882.6	887.084	That's that's maybe something for the future when you can talk to your television , but 	
B	886.06	887.278	Yeah . 	
C	886.428	887.093		
A	887.36	908.77	But is it in a sense it's r um mutually exclusive . You can't have both the th the one device and then have few buttons on it to 'cause you want you want simplicity as well , you want any idiot to be able to use it . Whilst at the same time you want , as you rightly said , one remote for all . 	
D	892.08	892.59	Yeah . 	
D	903.72	903.92	Yeah . 	
D	909.61	909.85	Mm-hmm . 	
A	910.04	930.87	And so these are probably mutually exclusive options that uh Hmm you could argue that experience of using devices and similar devices as people get more and more used to using remotes , therefore they're more with handling them , therefore you can make them more complicated as time goes on . 	
B	914.84	915.02	Yes . 	
D	915.92	916.16	Mm-hmm . 	
B	927.57	928.22	Yeah . 	
B	930.97	937.73	Maybe we could um have better instructions with the remote . Or are we just doing the design of the remote control itself , or sort of the instructions that would come with it ? 	
A	937.68	941.09	Better instructions . 	
D	941.78	942.06	Yeah . 	
D	943.34	943.66	I mean 	
D	945.23	973.76	we've done some research um about sort of you know what the cutting edge sort of hand held devices are , and a lot of them sort of use you know they're like they're like mini laptops . So it's possible that we could devise a system where where you're you're basically sort of holding a a miniature computer which is controlling all your your sort of your television , your stereo , and where you know if you buy a new thing then it sort of you can link it to that as well , maybe . 	
A	956.78	957.14	Mm-hmm . 	
A	974.53	987.84	Okay . Um well we've got five minutes before the end of the meeting . So uh we have to uh start winding up . Um is there Next meeting in thirty minutes . 	
B	988.72	989.22	'Kay . 	
D	989.88	990.22	Okay . 	
A	990.64	993.488	So um 	
A	995.16	1000.464	Right , so we've got I_D_ the Come on , where's my 	
D	1000.31	1004.32	If you just click return it should be okay . It'll get rid of the message . 	
B	1007.92	1011.545	Or not . 	
A	1009.136	1013.36		
D	1011.49	1014.17	If you hit just hit return and it should get rid of the message . 	
A	1023.552	1034.144	Oh there we go . Yeah . That's what I was looking for . Right . So we've got function 	
D	1026.33	1029.388	Oh you've got . 	
C	1027.654	1028.615		
A	1035.6	1038.224	Oh what happened to the 	
C	1037.57	1043.91	I think that might be back to the start . Um if you grab the kind of uh slide to the left and pull it down ? 	
D	1039.7	1040.1	Yeah . 	
B	1041.808	1044.368	slide four 	
D	1044.98	1045.23	Yeah . 	
A	1053.54	1054.06	Right . 	
A	1062.7	1068.76	Right . Sorry about that . Okay , so we've got um the working design 	
B	1063.77	1064.1	Okay . 	
D	1065.072	1065.376		
A	1069.91	1084.47	for I_D_ . For U_I_D_ the technical functions design . Marketing , the user requirement specification . Specific instructions will be sent to you by your person by your personal coach . So . 	
A	1085.65	1099.13	Are we all clear what objectives we're looking to meet in the next thirty minutes ? And I guess I'll try and write up some minutes of uh this meeting to uh to give it to you for the next meeting . 	
B	1089.039	1089.748		
D	1090.06	1090.3	Mm-hmm . 	
B	1090.49	1090.9	Yes . 	
B	1098.68	1099.38	'Kay , yes . 	
D	1099.75	1099.96	Mm-hmm . 	
C	1100.2	1108.27	I'm not exactly clear on what we're designing the rem remote for . Is this a mun multi-functional one or do we decide that ourselves as we go away and work on it ? 	
B	1109.09	1114.37	I think you just said at the start it was a television remote control , so maybe we should just stick to that unless we get told otherwise . 	
A	1111.1	1112.88	Television remote control . 	
C	1111.7	1112.26	Right . 	
A	1115.11	1148.92	That's true , 'cause during during the course of our day we might make decisions based on information or meetings that would change where we're going . But at this point in time I think you're right that uh shall we make it just a T_V_ . Okay ? So we will depart . We will stay here and uh and break off . And I'll do minutes and and we'll see you in half and hour . Okay . Right s 	
D	1124.06	1125.19	Okay cool . 	
B	1132.28	1132.63	'Kay . 	
B	1142.83	1143.32	Okay , that's great . 	
C	1143.14	1143.34	Okay . 	
D	1143.4	1144.83	Okay cheers . 	
